status	priority	score	fanin	class	module	path	signals
TODO	8.0	8.0	0	UnsupportedFloatFormatException	pcode	src/pcode/floatformat/unsupported_float_format_exception.rs	dyn=4
TODO	8.0	8.0	0	TestSaveable	program	src/program/database/properties/test_saveable.rs	dyn=4
TODO	8.0	8.0	0	Mod	program	src/program/model/lang/sleigh/expression/mod.rs	dyn=4
TODO	8.0	8.0	0	Mod	program	src/program/model/lang/sleigh/pattern/mod.rs	dyn=4
TODO	8.0	8.0	0	ByteIngest	program	src/program/model/pcode/byte_ingest.rs	dyn=4
TODO	8.0	8.0	0	Mod	program	src/program/model/symbol/mod.rs	dyn=4
TODO	8.0	8.0	0	SymbolTableListener	program	src/program/model/symbol/symbol_table_listener.rs	dyn=4
TODO	8.0	8.0	0	ExtBookmark	sarif	src/sarif/export/bkmk/ext_bookmark.rs	dyn=4
TODO	8.0	8.0	0	NoDefaultCodecException	util	src/util/database/err/no_default_codec_exception.rs	dyn=4
TODO	8.0	8.0	0	PrivateSaveable		src/util/private_saveable.rs	dyn=4
TODO	7.9	7.9	0	CompoundCmd	framework	src/framework/cmd/compound_cmd.rs	dyn=3,clone/100L=1.9
TODO	7.9	7.9	0	XmlParseException	util	src/util/xml/xml_parse_exception.rs	dyn=3,clone/100L=1.9
TODO	7.8	7.8	0	AbstractIsfObject	program	src/program/model/data/isf/abstract_isf_object.rs	dyn=3,clone/100L=1.8
TODO	7.7	7.7	0	SearchAddressIterator	app	src/app/plugin/core/searchtext/iterators/search_address_iterator.rs	clone/100L=7.7
TODO	7.7	7.7	0	AddressIteratorTestStub	program	src/program/model/address/address_iterator_test_stub.rs	clone/100L=7.7
TODO	7.6	7.6	0	VerticalPixelAddressMap	app	src/app/util/viewer/listingpanel/vertical_pixel_address_map.rs	dyn=3,clone/100L=1.6
TODO	7.6	7.6	0	DeletedMatch	feature	src/feature/vt/api/main/db/deleted_match.rs	clone/100L=7.6
TODO	7.5	7.5	0	FuncDb	app	src/app/analyzers/func_db.rs	dyn=3,getset_pairs=1
TODO	7.5	7.5	0	GhidraFileChooserDirectoryModelIf	docking	src/docking/widgets/filechooser/ghidra_file_chooser_directory_model_if.rs	clone/100L=6.5,getset_pairs=1
TODO	7.5	7.5	0	DisplayableAddress	feature	src/feature/vt/gui/editors/displayable_address.rs	dyn=3,clone/100L=1.5
TODO	7.5	7.5	0	DumpAddressObject	file	src/file/formats/dump/dump_address_object.rs	getset_pairs=7
TODO	7.4	7.4	0	AddressableRowObject	app	src/app/tablechooser/addressable_row_object.rs	clone/100L=7.4
TODO	7.4	7.4	0	RefdInputStream	filesystem	src/filesystem/gfilesystem/refd_input_stream.rs	dyn=2,rc_refcell=1
TODO	7.3	7.3	0	ByteBlockSelection	app	src/app/plugin/core/format/byte_block_selection.rs	dyn=1,clone/100L=1.3,getset_pairs=4
TODO	7.3	7.3	0	Location	feature	src/feature/fid/service/location.rs	dyn=3,clone/100L=1.3
