class	rust_is	should_be	rule	java_kind	location	why
ExpressionOperator	trait	enum	R1-java-enum	enum	ghidra-rs/src/generic/expressions/expression_operator.rs:16	Java `enum` with 21 constants
ExtensionDetails	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/extensions/extension_details.rs:25	concrete Java `class` (0 in-repo subclass(es))
ExternalLocationIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/program/model/symbol/external_location_iterator.rs:13	extends Iterator
FieldIndexTable	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/field_index_table.rs:16	concrete Java `class` (0 in-repo subclass(es))
FieldSpan	trait	enum	R2-sealed	interface/sealed	ghidra-rs/src/util/database/field_span.rs:26	Java `sealed interface` -- the permitted set is closed: its nested implementors
FileBytes	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/mem/file_bytes.rs:67	concrete Java `class` (0 in-repo subclass(es))
FileDataTypeManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/file_data_type_manager.rs:85	concrete Java `class` (0 in-repo subclass(es))
FileSystemInfoRec	trait	struct	R14-concrete-class	class	ghidra-rs/src/filesystem/gfilesystem/factory/file_system_info_rec.rs:24	concrete Java `class` (0 in-repo subclass(es))
FileSystemInitializer	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/store/file_system_initializer.rs:17	concrete Java `class` (0 in-repo subclass(es))
FileSystemRef	trait	struct	R14-concrete-class	class	ghidra-rs/src/filesystem/gfilesystem/file_system_ref.rs:35	concrete Java `class` (0 in-repo subclass(es))
FileSystemRefManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/filesystem/gfilesystem/file_system_ref_manager.rs:57	concrete Java `class` (0 in-repo subclass(es))
FileSystemService	trait	struct	R14-concrete-class	class	ghidra-rs/src/filesystem/gfilesystem/file_system_service.rs:60	concrete Java `class` (0 in-repo subclass(es))
FixedKeyFixedRecNode	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/fixed_key_fixed_rec_node.rs:20	concrete Java `class` (0 in-repo subclass(es))
FixedKeyInteriorNode	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/fixed_key_interior_node.rs:30	concrete Java `class` (0 in-repo subclass(es))
FixedKeyVarRecNode	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/fixed_key_var_rec_node.rs:16	concrete Java `class` (0 in-repo subclass(es))
FixedSizeHashMap	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/datastruct/fixed_size_hash_map.rs:12	concrete Java `class` (1 in-repo subclass(es))
FunctionDefinitionDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/function_definition_data_type.rs:128	concrete Java `class` (1 in-repo subclass(es))
FunctionIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/program/model/listing/function_iterator.rs:9	extends Iterator
FunctionMerge	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/function_merge.rs:53	concrete Java `class` (0 in-repo subclass(es))
FunctionPrototype	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/function_prototype.rs:46	concrete Java `class` (0 in-repo subclass(es))
FunctionSignatureImpl	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/function_signature_impl.rs:29	concrete Java `class` (0 in-repo subclass(es))
FunctionSymbol	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/symbol/function_symbol.rs:32	concrete Java `class` (0 in-repo subclass(es))
GFileSystemFactoryIgnore	trait	struct	R14-concrete-class	class	ghidra-rs/src/filesystem/gfilesystem/factory/g_file_system_factory_ignore.rs:10	concrete Java `class` (0 in-repo subclass(es))
GhidraDataTypeArchiveMergeManagerFactory	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/ghidra_data_type_archive_merge_manager_factory.rs:16	concrete Java `class` (0 in-repo subclass(es))
GhidraFolderData	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/data/ghidra_folder_data.rs:42	concrete Java `class` (1 in-repo subclass(es))
GhidraJarBuilder	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/ghidra_jar_builder.rs:54	concrete Java `class` (0 in-repo subclass(es))
GhidraObjectInputFilter	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/remote/ghidra_object_input_filter.rs:105	concrete Java `class` (0 in-repo subclass(es))
GhidraProgramMultiUserMergeManagerFactory	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/ghidra_program_multi_user_merge_manager_factory.rs:15	concrete Java `class` (0 in-repo subclass(es))
GhidraServer	trait	struct	R14-concrete-class	class	ghidra-rs/src/server/remote/ghidra_server.rs:34	concrete Java `class` (0 in-repo subclass(es))
GhidraToolState	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/data/ghidra_tool_state.rs:33	concrete Java `class` (0 in-repo subclass(es))
GhidraURLConnection	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/protocol/ghidra/ghidra_url_connection.rs:115	concrete Java `class` (0 in-repo subclass(es))
GlobalReferenceIterator	trait	struct	R14-concrete-class	class	ghidra-rs/src/format/pdb2/pdbreader/global_reference_iterator.rs:52	concrete Java `class` (0 in-repo subclass(es))
GlobalSymbolMap	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/global_symbol_map.rs:24	concrete Java `class` (0 in-repo subclass(es))
HighCodeSymbol	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/high_code_symbol.rs:36	concrete Java `class` (0 in-repo subclass(es))
HighConstant	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/high_constant.rs:42	concrete Java `class` (0 in-repo subclass(es))
HighFunction	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/high_function.rs:93	concrete Java `class` (0 in-repo subclass(es))
HighFunctionDBUtil	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/high_function_db_util.rs:94	concrete Java `class` (0 in-repo subclass(es))
HighParamID	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/high_param_id.rs:63	concrete Java `class` (0 in-repo subclass(es))
HighSymbol	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/high_symbol.rs:77	concrete Java `class` (7 in-repo subclass(es))
ImmutableTraceAddressSnapRange	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/model/immutable_trace_address_snap_range.rs:30	concrete Java `class` (0 in-repo subclass(es))
ImmutableValueBox	trait	struct	R3-record	record	ghidra-rs/src/trace/database/target/immutable_value_box.rs:20	Java `record` -- an immutable value type
