class	fanin	path
ProgramBasedDataTypeManager	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ProgramBasedDataTypeManager.java
StringUTF8DataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/StringUTF8DataType.java
StructureBigEndianBitFieldTest	1242	Ghidra/Features/Base/src/test/java/ghidra/program/model/data/StructureBigEndianBitFieldTest.java
WideChar16DataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/WideChar16DataType.java
WideChar32DataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/WideChar32DataType.java
WideCharDataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/WideCharDataType.java
AbstractColorDataType	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AbstractColorDataType.java
AbstractLeb128DataType	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AbstractLeb128DataType.java
AlignmentType	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AlignmentType.java
AnnotationHandler	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AnnotationHandler.java
AudioPlayer	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AudioPlayer.java
BitGroup	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/BitGroup.java
BitmapResource	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/BitmapResource.java
BooleanDataType	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/BooleanDataType.java
CompositeDataTypeImpl	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/CompositeDataTypeImpl.java
CycleGroup	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/CycleGroup.java
DataTypeComponentImpl	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeComponentImpl.java
DataTypeNameComparator	1241	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeNameComparator.java
